File Name,Pitch Data
27.mid,"60,65,65,67,65,67,65,65,67,71,69,72,67,67,65,65,67,69,67,67,69,65,64,62,65,67,71,67,71,69,67,65,72,72,65,67,71,69,65"
28.mid,"62,65,67,69,67,67,67,69,69,69,67,69,72,67,67,65,67,69,65,67,69,67,69,72,69,67,69,67,65,67,69,67,67,67,72,71,72,74,72,72,71,69,71,71,71,72,69,69,67,69,69,67,69,67,69,67,65,67,65,65,67,69,65,64,62,65,60,62,64,65,64,65,64,62,65,64,62,64,65,67,69,69,67,67,69,69,69,67,69,72,67,67,65,69,65,67,69,72,72,71,69,67,65,67,69,67,69,72,69,69,69,74,72,72,71,69,71,71,71,72,69,69,67,69,69,67,67,69,67,67,69,67,67,69,67,71,72,69,67,65,67,69,67,69,67,67,67,71,72,74,72,72,76,74,72,72,71,69,69,71,72,71,69,72,69,67,69,67"
29.mid,"67,74,77,72,72,71,69,72,74,76,74,76,77,79,77,77,76,74,72,74,76,77,76,77,76,74,74,72,74,72,74,72,74,72,71,72,71,69,67,69,69,67,67,72,72,72,72,72,71,69,74,72,74,76,74,67,69,69,67,69,67,65,67,69,67,69,71,72,71,69,69,71,72,71,69,69,67,67,69,72,69,67,69,69,67,74,72,74,79,76,77,79,76,77,74,76,77,76,74,72,77,74,76,77,76,77,76,74,74,72,74,76,77,76,77,76,74,72,74,76,74,76,79,76,74,72,71,72,72,74,74,72,71,72,71,69,67,69,67,65,65,69,71,72,72,74,72,71,69,69,71,72,71,69,67,67,69,72,69,67,69,67,65,65,69,72,72,72,71,72,69,67,65,67,67,74,72,74,72,72,76,74,72,72,71,69,69,71,72,71,69,72,69,67,69,67"
30.mid,"64,62,67,69,67,69,72,72,72,72,69,69,71,72,71,69,67,67,69,71,72,71,69,72,72,67,67,65,65,64,65,65,64,65,69,69,69,71,72,67,65,67,65,65,65,62,65,67,65,64,65,65,64,64,65,67,69,67,67,67,69,69,69,67,69,67,67,65,67,72,72,71,71,69,72,69,71,72,71,69,67,69,69,67,67,69,72,74,72,74,71,72,69,69,67,69,72,69,67,69,67,67,69,67,67,65,69,69,69,71,72,67,67,67,65,65,64,62,64,65,62,67,69,67,67,62,64,62,64,67,62,64,62,64,67,69,65,67,69,67,64,67,64,65,65,64"
31.mid,"67,69,72,69,69,69,67,65"
32.mid,"64,65,67,67,67,65,67,69,69,67,67,67,67,69,72,67,69,67,65,65,69,72,72,72,71,69,72,67,69,67,69,67,64,65,69,65,64,62,62,65,67,69,67,67"
33.mid,"67,67,72,71,69,67,67,71,72,76,72,76,72,71,69,72,72,72,69,72,67,67,67,67,65,67,69,72,76,72,74,72,69,72,69,69,67,67,65,64,65,67,69,69,67,67,67,69,67,69,67,65,67,65,65,65,69,72,72,71,72,69,67,65,67,69,69,67,67"
34.mid,"67,67,67,72,69,69,67,67,74,74,71,72,74,76,74,72,72,71,69,71,72,74,72,69,67,67,67,69,67,69,67,69,67,69,72,69,67,67,69,67,65,67,67,69,67,65,65,65,69,72,72,71,72,69,72,69,67,67,67,65,64,62,62,65,67,69,67,67"
35.mid,"60,62,62,65,69,72,69,69,69,67,69,67,65,64,65,67,65,62,62,67,65,65,64,65,62,60,65,65,67,67,65,65,67,69,69,69,69,67,69,67,65,67,67,69,72,71,67,71,67,62,62,62,67,65,64,65,62,60,64,65,67,65,64,62,62,69,69,69,67,67,65,67,69,67,65,62"
36.mid,"67,71,72,74,76,74,72,74,77,77,76,74,76,74,74,76,77,79,77,76,74,76,74,76,72,71,69,71,72,74,72,69,67,67,74,74,76,74,72,71,69"
